Window (min ago),Horizon (min),MAE,RMSE,R2,MAPE,Accuracy (%)
90,1,124.64948400910112,124.64948400910112,,0.17807069144157303,82.19293085584269
90,5,268.42234350249424,390.8170443582133,-0.24785916798112462,0.31168999759802446,68.83100024019755
45,1,388.9085495975901,388.9085495975901,,0.32409045799799174,67.59095420020083
45,5,264.9763571498802,303.40539670858544,-1.1711045932050501,0.23643289169542442,76.35671083045756
30,1,133.08882758575237,133.08882758575237,,0.2661776551715047,73.38223448284953
30,5,227.21074549512386,280.5789495876378,-0.9681136737925544,0.774027311294187,22.5972688705813
