Window,MAE,RMSE,R2,MAPE
Window 1,339.5319357325635,360.1666479805688,-0.026265936056637518,0.7715988466845279
Window 2,239.86435647534094,251.26308622319763,-10.273774731858222,0.5357047044093993
Window 3,281.25367740318245,330.8894554347512,-2.6015734117732308,0.941301932937564
Window 4,402.89133219172857,440.39120783640993,-0.3104352428352164,2.1107346641996223
Window 5,237.80740801648616,280.25775659109814,-0.96361025323688,0.7810527937580238
