Window,MAE,RMSE,R2,MAPE,Accuracy (%)
Window 1 (90 min),15.804190307305134,15.804190307305134,,0.02257741472472162,97.74225852752784
Window 2 (60 min),312.2181061933326,312.2181061933326,,0.7805452654833315,21.945473451666853
Window 3 (45 min),487.14078836712133,487.14078836712133,,0.40595065697260113,59.40493430273989
Window 4 (30 min),196.4849304910258,196.4849304910258,,0.3929698609820516,60.70301390179485
Window 5 (15 min),0.7087219062103713,0.7087219062103713,,0.0010124598660148161,99.89875401339852
